product_id,category,current_price,optimal_price,price_change_pct,current_revenue,optimal_revenue,revenue_lift_pct
computers1,computers_accessories,79.9,65.88,-17.6,327.59,2503.97,664.4
furniture3,furniture_decor,35.0,29.43,-15.9,54.6,363.15,565.1
cool2,cool_stuff,129.99,109.3,-15.9,200.18,934.5,366.8
garden5,garden_tools,101.0,84.1,-16.7,173.72,777.07,347.3
consoles1,consoles_games,36.2,29.26,-19.2,69.14,307.48,344.7
health9,health_beauty,23.99,19.19,-20.0,70.77,244.12,244.9
bed4,bed_bath_table,47.9,40.28,-15.9,112.56,385.84,242.8
cool3,cool_stuff,65.0,52.53,-19.2,110.5,377.17,241.3
computers2,computers_accessories,77.9,65.5,-15.9,345.1,1177.68,241.3
watches6,watches_gifts,112.0,94.17,-15.9,505.12,1564.19,209.7
bed3,bed_bath_table,84.9,71.39,-15.9,308.19,940.14,205.1
computers6,computers_accessories,149.9,123.59,-17.6,1247.17,3449.43,176.6
garden3,garden_tools,99.99,83.26,-16.7,331.97,845.89,154.8
watches2,watches_gifts,138.0,111.53,-19.2,667.92,1681.82,151.8
furniture2,furniture_decor,103.23,86.8,-15.9,335.51,781.2,132.8
health1,health_beauty,84.99,78.4,-7.8,335.71,776.15,131.2
perfumery1,perfumery,49.99,42.03,-15.9,298.94,684.71,129.0
watches8,watches_gifts,157.95,128.94,-18.4,1720.03,3758.46,118.5
computers3,computers_accessories,132.97,106.38,-20.0,739.31,1587.13,114.7
health7,health_beauty,58.99,47.67,-19.2,214.72,455.76,112.3
health4,health_beauty,29.9,24.65,-17.6,426.67,895.37,109.8
furniture4,furniture_decor,83.83,69.12,-17.6,891.15,1852.41,107.9
consoles2,consoles_games,34.2,27.64,-19.2,246.24,497.78,102.2
watches4,watches_gifts,105.0,87.43,-16.7,804.3,1520.38,89.0
garden2,garden_tools,49.9,41.96,-15.9,170.66,302.93,77.5
watches5,watches_gifts,199.0,164.07,-17.6,3560.11,6261.04,75.9
garden6,garden_tools,49.91,41.97,-15.9,296.96,500.22,68.4
health6,health_beauty,66.99,59.61,-11.0,1728.34,2892.75,67.4
bed1,bed_bath_table,39.24,32.99,-15.9,313.53,523.94,67.1
cool4,cool_stuff,169.99,140.16,-17.6,1249.43,2088.31,67.1
garden10,garden_tools,49.9,41.14,-17.6,678.14,1111.66,63.9
health8,health_beauty,82.82,69.64,-15.9,670.03,1066.15,59.1
health5,health_beauty,364.0,294.17,-19.2,3414.32,5421.58,58.8
garden7,garden_tools,49.9,41.96,-15.9,310.88,485.86,56.3
garden1,garden_tools,98.32,81.87,-16.7,649.92,968.51,49.0
bed2,bed_bath_table,74.0,61.62,-16.7,640.84,936.57,46.1
watches3,watches_gifts,77.82,67.97,-12.7,2509.74,3596.54,43.3
health3,health_beauty,122.99,109.44,-11.0,3626.98,5150.06,42.0
cool1,cool_stuff,89.86,75.56,-15.9,416.97,571.22,37.0
garden4,garden_tools,49.9,41.96,-15.9,296.9,397.33,33.8
garden8,garden_tools,139.0,166.8,20.0,982.73,1307.71,33.1
computers4,computers_accessories,119.99,100.89,-15.9,1096.71,1454.83,32.7
computers5,computers_accessories,78.9,71.49,-9.4,575.18,737.81,28.3
garden9,garden_tools,49.9,41.96,-15.9,385.73,490.05,27.0
health2,health_beauty,330.0,272.08,-17.6,7253.4,9011.34,24.2
health10,health_beauty,50.71,40.57,-20.0,497.47,584.18,17.4
cool5,cool_stuff,84.69,68.45,-19.2,536.95,613.95,14.3
watches1,watches_gifts,145.55,116.44,-20.0,1464.24,1672.09,14.2
furniture1,furniture_decor,35.0,31.71,-9.4,509.6,545.49,7.0
bed5,bed_bath_table,163.4,152.06,-6.9,6232.03,6275.55,0.7
perfumery2,perfumery,116.91,98.3,-15.9,1581.75,1545.23,-2.3
watches7,watches_gifts,169.35,136.86,-19.2,5107.58,2802.93,-45.1
